en: Jack Bauer; es: Jack Bauer; fr: Jack Bauer; 
en: Cat; es: Felis silvestris catus; fr: Chat; 
en: Dog; es: Canis lupus familiaris; fr: Chien; 
en: Esperanto; es: Esperanto; fr: Espéranto; 
en: Paris; es: París; fr: Paris; 
en: Abraham Lincoln; es: Abraham Lincoln; fr: Abraham Lincoln; 
en: Boston; es: Boston; fr: Boston; 
en: Lopadotemachoselachogaleokranioleipsanodrimhypotrimmatosilphioparaomelitokatakechymenokichlepikossyphophattoperisteralektryonoptekephalliokigklopeleiolagoiosiraiobaphetraganopterygon; es: Lopadotemajoselajogaleokranioleipsanodrimipotrimmatosilfiokarabomelitokatakejimenokijlepikossifofatoperisteralektrionoptekefaliokinklopeleiolagoiosiraiobafetraganopterigón; fr: Lopadotemakhoselakhogaleo­kranioleipsanodrimypotrimmato­silphiokarabomelitokatakekhymeno­kikhlepikossyphophattoperistera­lektryonoptekephalliokinklope­leiolagōiosiraiobaphētraga­nopterygṓn; 
en: Atlantic Ocean; es: Océano Atlántico; fr: Océan Atlantique; 
en: Knight (chess); es: Caballo (ajedrez); fr: Cavalier (échecs); 
en: Google; es: Google; fr: Google; 
en: Lion; es: Panthera leo; fr: Lion; 
en: Sunday; es: Domingo; fr: Dimanche; 
en: Pacific Ocean; es: Océano Pacífico; fr: Océan Pacifique; 
en: King (chess); es: Rey (ajedrez); fr: Roi (échecs); 
en: Android (operating system); es: Android; fr: Android; 
en: Apple; es: Manzana; fr: Pomme; 
en: Timbits; es: Timbits; fr: Trou de beigne; 
en: Fiber; fr: Fibre; 
en: Ken Jennings; fr: Ken Jennings; 
en: François Hollande; es: François Hollande; fr: François Hollande; 
en: Mexico; es: México; fr: Mexique; 
en: Kitten; 
en: Nyan Cat; es: Nyan Cat; fr: Nyan Cat; 
en: Friday; es: Viernes; fr: Vendredi; 
en: Thursday; es: Jueves; fr: Jeudi; 
en: Wednesday; es: Miércoles; fr: Mercredi; 
en: Bishop (chess); es: Alfil; fr: Fou (échecs); 
en: Rook (chess); es: Torre (ajedrez); fr: Tour (échecs); 
en: Queen (chess); es: Dama (ajedrez); fr: Dame (échecs); 
en: Tuesday; es: Martes; fr: Mardi; 
en: Pawn (chess); es: Peón (ajedrez); fr: Pion (échecs); 
en: Mixed-member proportional representation; es: Representación proporcional mixta; 
en: Saturday; es: Sábado; fr: Samedi; 
en: Rings of Saturn; es: Anillos de Saturno; fr: Anneaux de Saturne; 
en: War; es: Guerra; fr: Guerre; 
en: Right angle; es: Ángulo recto; fr: Angle droit; 
en: Cherry; es: Cereza; fr: Cerise; 
en: Alcohol; es: Alcohol; fr: Alcool (chimie); 
en: Pirate Parties International; es: Internacional de Partidos Pirata; fr: Parti pirate international; 
en: Ethanol; es: Etanol; fr: Éthanol; 
en: Rakfisk; es: Rakfisk; fr: Rakfisk; 
en: English; fr: English; 
en: Cetacea; es: Cetacea; fr: Cetacea; 
en: Yorkshire; es: Yorkshire; fr: Yorkshire; 
en: Optical fiber; es: Fibra óptica; fr: Fibre optique; 
en: Mango; fr: Mangue; 
en: Larry Sanger; es: Larry Sanger; fr: Larry Sanger; 
en: São Paulo (state); es: Estado de São Paulo; fr: État de São Paulo; 
en: God; es: Dios; fr: Dieu; 
en: Iceland; es: Islandia; fr: Islande; 
en: Toronto; es: Toronto; fr: Toronto; 
en: Belarus; es: Bielorrusia; fr: Biélorussie; 
en: Jimmy Wales; es: Jimmy Wales; fr: Jimmy Wales; 
en: 1 (number); es: Uno; fr: 1 (nombre); 
en: Sea; es: Mar; fr: Mer; 
en: Quebec; es: Quebec; fr: Québec; 
en: Wikimedia Foundation; es: Fundación Wikimedia; fr: Wikimedia Foundation; 
en: 2 (number); es: Dos; fr: 2 (nombre); 
en: Stephen Harper; es: Stephen Harper; fr: Stephen Harper; 
en: Black Sea; es: Mar Negro; fr: Mer Noire; 
en: 3 (number); es: Tres; fr: 3 (nombre); 
en: United Kingdom; es: Reino Unido; fr: Royaume-Uni; 
en: Square; es: Cuadrado; fr: Carré; 
en: Infinity; es: Infinito; fr: Infini; 
en: Rectangle; es: Rectángulo; fr: Rectangle; 
en: Pasta; es: Pasta; fr: Pâtes alimentaires; 
en: Pizza; es: Pizza; fr: Pizza; 
en: Airplane; es: Avión; fr: Avion; 
en: Il Canto degli Italiani; es: Il Canto degli Italiani; fr: Fratelli d’Italia; 
en: China; es: República Popular China; fr: Chine; 
en: David Cameron; es: David Cameron; fr: David Cameron; 
en: Russia; es: Rusia; fr: Russie; 
en: Saturn; es: Saturno (planeta); fr: Saturne (planète); 
en: Pi; es: Número π; fr: Pi; 
en: Pi (letter); es: Π; fr: Pi (lettre grecque); 
en: São Paulo; es: São Paulo; fr: São Paulo; 
en: Alabama; es: Alabama; fr: Alabama; 
en: 0 (number); es: Cero; fr: Zéro; 
en: 5 (number); es: Cinco; fr: 5 (nombre); 
en: George W. Bush; es: George W. Bush; fr: George W. Bush; 
en: 4 (number); es: Cuatro; fr: 4 (nombre); 
en: Estonia; es: Estonia; fr: Estonie; 
en: Ukraine; es: Ucrania; fr: Ukraine; 
en: German language; es: Idioma alemán; fr: Allemand; 
en: Germany; es: Alemania; fr: Allemagne; 
en: Wiki; es: Wiki; fr: Wiki; 
en: Slovenia; es: Eslovenia; fr: Slovénie; 
en: France; es: Francia; fr: France; 
en: Boeing 747; es: Boeing 747; fr: Boeing 747; 
en: Chocolate; es: Chocolate; fr: Chocolat; 
